"Word","Length","Log_Freq_HAL"
"a","1","16.18"
"Aaron","5","9.29"
"abacus","6","6.24"
"abandon","7","8.23"
"abandoned","9","8.55"
"abandoning","10","6.91"
"abandonment","11","6.67"
"abbey","5","7.73"
"abbot","5","6.42"
"abide","5","7.58"
"abides","6","6.09"
"abiding","7","7.22"
"Abigail","7","6.54"
"abbreviated","11","7.10"
"abbreviation","12","7.55"
"abbreviations","13","7.82"
"abdomen","7","7.15"
"abdominal","9","6.75"
"abduction","9","7.60"
"Abe","3","7.12"
"Abel","4","6.92"
"aberration","10","6.32"
"abilities","9","9.11"
"ability","7","10.95"
"abject","6","6.22"
"able","4","12.08"
"abnormal","8","7.70"
"abnormalities","13","6.47"
"aboard","6","8.22"
"abode","5","6.19"
"abolish","7","7.38"
"abolished","9","7.28"
"abolition","9","6.72"
"aborigines","10","6.24"
"abort","5","7.93"
"abominable","10","6.16"
"aboriginal","10","7.29"
"abortion","8","9.73"
"abortions","9","8.23"
"abound","6","6.97"
"about","5","14.08"
"above","5","12.09"
"Abraham","7","8.25"
"abrasive","8","6.36"
"abreast","7","6.20"
"abridged","8","6.68"
"abroad","6","8.70"
"abrupt","6","6.58"
"abruptly","8","7.11"
"absence","7","8.90"
"absent","6","8.01"
"absolute","8","9.73"
"absolutely","10","10.52"
"absolutes","9","6.38"
"absorb","6","7.93"
"absorbed","8","7.99"
"absorbing","9","6.84"
"absorbs","7","6.43"
"absorption","10","7.46"
"abstain","7","6.87"
"abstinence","10","6.89"
"abstract","8","9.06"
"abstraction","11","7.38"
"abstractions","12","6.24"
"abstracts","9","8.32"
"absurd","6","8.51"
"absurdity","9","6.99"
"abundance","9","7.51"
"abundant","8","7.23"
"abuse","5","10.16"
"abused","6","8.71"
"abuses","6","8.11"
"abusive","7","8.17"
"abysmal","7","6.43"
"abyss","5","8.35"
"academic","8","9.78"
"academically","12","6.59"
"academics","9","7.50"
"academies","9","6.87"
"academy","7","9.40"
"accent","6","8.56"
"accelerate","10","7.77"
"accelerated","11","8.12"
"accelerating","12","6.94"
"acceleration","12","8.34"
"accelerator","11","8.55"
"accelerators","12","7.29"
"accented","8","7.07"
"accents","7","7.49"
"accept","6","10.81"
"accolade","8","6.56"
"acceptable","10","9.70"
"acceptance","10","9.08"
"accepted","8","10.43"
"accepting","9","8.94"
"accepts","7","8.43"
"access","6","12.06"
"accesses","8","7.77"
"accessible","10","9.28"
"accessories","11","8.65"
"accessory","9","7.20"
"accident","8","9.32"
"accidental","10","7.76"
"accidents","9","8.33"
"acclaim","7","6.79"
"accidentally","12","8.40"
"acclaimed","9","6.96"
"accommodate","11","7.81"
"accommodating","13","6.10"
"accommodation","13","7.60"
"accommodations","14","7.27"
"accompanied","11","8.40"
"accompanies","11","6.58"
